ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-05-30,568.1260557827356,531.9029515831799,591.3678978971676,568.1260557827356,568.1260557827356,-7.8036529698295025,-7.8036529698295025,-7.8036529698295025,-1.1672393741218727,-1.1672393741218727,-1.1672393741218727,-6.63641359570763,-6.63641359570763,-6.63641359570763,0.0,0.0,0.0,560.3224028129061
2022-05-31,568.1279362805102,531.3264494687714,591.7739936621882,568.1279362805102,568.1279362805102,-6.912746260206887,-6.912746260206887,-6.912746260206887,-0.16422379582969235,-0.16422379582969235,-0.16422379582969235,-6.748522464377195,-6.748522464377195,-6.748522464377195,0.0,0.0,0.0,561.2151900203033
2022-06-01,568.1298167782847,526.6081822397512,589.9737174249476,568.1298167782847,568.1298167782847,-8.82522056179184,-8.82522056179184,-8.82522056179184,-2.1197508359930146,-2.1197508359930146,-2.1197508359930146,-6.7054697257988245,-6.7054697257988245,-6.7054697257988245,0.0,0.0,0.0,559.3045962164929
2022-06-02,568.1316972760593,532.9540267415358,593.8610770884096,568.1316972760593,568.1316972760593,-5.795658589322469,-5.795658589322469,-5.795658589322469,0.7127744359933185,0.7127744359933185,0.7127744359933185,-6.508433025315788,-6.508433025315788,-6.508433025315788,0.0,0.0,0.0,562.3360386867369
2022-06-03,568.1335777738338,532.1223437802036,596.3067294015825,568.1335777738338,568.1335777738338,-4.252277440580201,-4.252277440580201,-4.252277440580201,1.9097870079505972,1.9097870079505972,1.9097870079505972,-6.162064448530798,-6.162064448530798,-6.162064448530798,0.0,0.0,0.0,563.8813003332536
2022-06-04,568.1354582716084,531.6018411626821,593.4123542137391,568.1354582716084,568.1354582716084,-4.861864384633861,-4.861864384633861,-4.861864384633861,0.8124879209115901,0.8124879209115901,0.8124879209115901,-5.674352305545452,-5.674352305545452,-5.674352305545452,0.0,0.0,0.0,563.2735938869746
2022-06-05,568.137338769383,531.104802993226,592.490255443011,568.137338769383,568.137338769383,-5.040237966632945,-5.040237966632945,-5.040237966632945,0.016164641077712497,0.016164641077712497,0.016164641077712497,-5.056402607710657,-5.056402607710657,-5.056402607710657,0.0,0.0,0.0,563.09710080275
2022-06-06,568.1392192671576,530.220634036493,591.8618191745715,568.1392192671576,568.1393981183977,-5.489385905784657,-5.489385905784657,-5.489385905784657,-1.1672393741200884,-1.1672393741200884,-1.1672393741200884,-4.322146531664568,-4.322146531664568,-4.322146531664568,0.0,0.0,0.0,562.649833361373
2022-06-07,568.1410997649322,533.2574008336624,595.5145693776315,568.1410340993123,568.1415753396982,-3.652205814143446,-3.652205814143446,-3.652205814143446,-0.16422379583045635,-0.16422379583045635,-0.16422379583045635,-3.4879820183129895,-3.4879820183129895,-3.4879820183129895,0.0,0.0,0.0,564.4888939507887
2022-06-08,568.1429802627067,533.4145120355332,593.2544326452847,568.1427112756458,568.1436881014887,-4.692110110053558,-4.692110110053558,-4.692110110053558,-2.1197508359894828,-2.1197508359894828,-2.1197508359894828,-2.5723592740640746,-2.5723592740640746,-2.5723592740640746,0.0,0.0,0.0,563.4508701526531
2022-06-09,568.1448607604813,535.0825851695656,598.2483011473366,568.1443032441302,568.1460652749472,-0.8825468506760642,-0.8825468506760642,-0.8825468506760642,0.7127744359941514,0.7127744359941514,0.7127744359941514,-1.5953212866702156,-1.5953212866702156,-1.5953212866702156,0.0,0.0,0.0,567.2623139098052
2022-06-10,568.1467412582558,537.8624036782726,600.262506576085,568.1457939096152,568.1484199622192,1.331775503258754,1.331775503258754,1.331775503258754,1.909787007957553,1.909787007957553,1.909787007957553,-0.578011504698799,-0.578011504698799,-0.578011504698799,0.0,0.0,0.0,569.4785167615146
2022-06-11,568.1486217560304,540.5179003527173,600.5005367799301,568.1473573043879,568.1507754286299,1.270326387703671,1.270326387703671,1.270326387703671,0.8124879209142608,0.8124879209142608,0.8124879209142608,0.4578384667894103,0.4578384667894103,0.4578384667894103,0.0,0.0,0.0,569.418948143734
2022-06-12,568.150502253805,540.9194380814979,599.8366971957093,568.1486637630609,568.1531804500215,1.5065925882152162,1.5065925882152162,1.5065925882152162,0.01616464107404439,0.01616464107404439,0.01616464107404439,1.4904279471411717,1.4904279471411717,1.4904279471411717,0.0,0.0,0.0,569.6570948420202
2022-06-13,568.1523827515796,539.1401549688835,599.4790337631335,568.150284112365,568.1555764715866,1.3311604559612085,1.3311604559612085,1.3311604559612085,-1.167239374120481,-1.167239374120481,-1.167239374120481,2.4983998300816896,2.4983998300816896,2.4983998300816896,0.0,0.0,0.0,569.4835432075408
2022-06-14,568.1542632493541,540.5791125166476,603.2075737289225,568.1517451851587,568.1580143523903,3.297110149831718,3.297110149831718,3.297110149831718,-0.16422379582707247,-0.16422379582707247,-0.16422379582707247,3.4613339456587906,3.4613339456587906,3.4613339456587906,0.0,0.0,0.0,571.4513733991859
2022-06-15,568.1561437471287,538.9920722806846,601.2598930076139,568.1528266643876,568.1605007484909,2.2404581284899447,2.2404581284899447,2.2404581284899447,-2.1197508359911432,-2.1197508359911432,-2.1197508359911432,4.360208964481088,4.360208964481088,4.360208964481088,0.0,0.0,0.0,570.3966018756187
2022-06-16,568.1580242449032,542.0421030456754,604.603989045412,568.1537721447867,568.1632680469723,5.890596112184815,5.890596112184815,5.890596112184815,0.7127744359949842,0.7127744359949842,0.7127744359949842,5.177821676189831,5.177821676189831,5.177821676189831,0.0,0.0,0.0,574.048620357088
2022-06-17,568.1599047426778,544.0218477890793,604.4525630902666,568.1550768549544,568.1659228078042,7.8089407670215545,7.8089407670215545,7.8089407670215545,1.9097870079536794,1.9097870079536794,1.9097870079536794,5.899153759067875,5.899153759067875,5.899153759067875,0.0,0.0,0.0,575.9688455096993
2022-06-18,568.1617852404524,543.7163988184396,607.9824705431736,568.1563785396493,568.1682362355746,7.324165608049996,7.324165608049996,7.324165608049996,0.8124879209116205,0.8124879209116205,0.8124879209116205,6.511677687138375,6.511677687138375,6.511677687138375,0.0,0.0,0.0,575.4859508485024
2022-06-19,568.163665738227,546.0570997245023,605.5885869137256,568.1572085875861,568.1707887260845,7.021759791588599,7.021759791588599,7.021759791588599,0.01616464107705756,0.01616464107705756,0.01616464107705756,7.005595150511542,7.005595150511542,7.005595150511542,0.0,0.0,0.0,575.1854255298156
2022-06-20,568.1655462360015,542.2171109168403,605.5176462239093,568.1581314855016,568.1736750503043,6.206763869873206,6.206763869873206,6.206763869873206,-1.1672393741208735,-1.1672393741208735,-1.1672393741208735,7.374003243994079,7.374003243994079,7.374003243994079,0.0,0.0,0.0,574.3723101058747
2022-06-21,568.1674267337761,544.766616583414,607.4779665669222,568.1592136540852,568.1762307309833,7.448761859007718,7.448761859007718,7.448761859007718,-0.16422379582806898,-0.16422379582806898,-0.16422379582806898,7.612985654835787,7.612985654835787,7.612985654835787,0.0,0.0,0.0,575.6161885927838
2022-06-22,568.1693072315506,544.0793314220928,603.169680912869,568.1599269906321,568.1788711303159,5.601877261713225,5.601877261713225,5.601877261713225,-2.1197508359895094,-2.1197508359895094,-2.1197508359895094,7.721628097702735,7.721628097702735,7.721628097702735,0.0,0.0,0.0,573.7711844932638
2022-06-23,568.1711877293252,548.0089051167166,606.8142223539782,568.160829808043,568.181615920866,8.414733683480403,8.414733683480403,8.414733683480403,0.7127744360002628,0.7127744360002628,0.7127744360002628,7.70195924748014,7.70195924748014,7.70195924748014,0.0,0.0,0.0,576.5859214128056
2022-06-24,568.1730682270997,546.7680846761313,609.0847527692259,568.1620946404756,568.1843483169266,9.468607362010038,9.468607362010038,9.468607362010038,1.9097870079552206,1.9097870079552206,1.9097870079552206,7.558820354054817,7.558820354054817,7.558820354054817,0.0,0.0,0.0,577.6416755891098
2022-06-25,568.1749487248744,546.3530370707143,608.1426999478396,568.1634066238965,568.1876616511605,8.112156456496619,8.112156456496619,8.112156456496619,0.8124879209221733,0.8124879209221733,0.8124879209221733,7.299668535574446,7.299668535574446,7.299668535574446,0.0,0.0,0.0,576.287105181371
2022-06-26,568.176829222649,543.6847486807757,605.8847655993349,568.1643268277471,568.1904792084111,6.950485031258284,6.950485031258284,6.950485031258284,0.016164641073389382,0.016164641073389382,0.016164641073389382,6.934320390184895,6.934320390184895,6.934320390184895,0.0,0.0,0.0,575.1273142539072
2022-06-27,568.1787097204235,542.6207609432769,606.8606630563575,568.1657158165937,568.19323584821,5.3074046242927775,5.3074046242927775,5.3074046242927775,-1.167239374121266,-1.167239374121266,-1.167239374121266,6.474643998414043,6.474643998414043,6.474643998414043,0.0,0.0,0.0,573.4861143447163
2022-06-28,568.1805902181981,539.2364746700677,604.0033821236142,568.1668188390901,568.1964980047146,5.769984777537756,5.769984777537756,5.769984777537756,-0.16422379582860003,-0.16422379582860003,-0.16422379582860003,5.934208573366356,5.934208573366356,5.934208573366356,0.0,0.0,0.0,573.9505749957358
2022-06-29,568.1824707159726,540.1364154191692,601.7327756166884,568.1678574083519,568.1997400997749,3.2081510892840335,3.2081510892840335,3.2081510892840335,-2.11975083599117,-2.11975083599117,-2.11975083599117,5.327901925275203,5.327901925275203,5.327901925275203,0.0,0.0,0.0,571.3906218052566
2022-06-30,568.1843512137472,544.5473999966,604.18329752559,568.168316106758,568.2025613788476,5.384300956551596,5.384300956551596,5.384300956551596,0.712774435990935,0.712774435990935,0.712774435990935,4.67152652056066,4.67152652056066,4.67152652056066,0.0,0.0,0.0,573.5686521702987
2022-07-01,568.1862317115218,542.8297916855413,603.4763474950608,568.1685502885309,568.2059414617574,5.891172229744342,5.891172229744342,5.891172229744342,1.9097870079567616,1.9097870079567616,1.9097870079567616,3.98138522178758,3.98138522178758,3.98138522178758,0.0,0.0,0.0,574.0774039412662
2022-07-02,568.1881122092964,543.0661339475189,601.327440619104,568.1687086292891,568.208941808908,4.086355711877641,4.086355711877641,4.086355711877641,0.8124879209142222,0.8124879209142222,0.8124879209142222,3.273867790963419,3.273867790963419,3.273867790963419,0.0,0.0,0.0,572.274467921174
2022-07-03,568.1899927070709,540.4616522149056,598.6427074281754,568.1694748103145,568.211623251962,2.5812135719125378,2.5812135719125378,2.5812135719125378,0.016164641078032296,0.016164641078032296,0.016164641078032296,2.5650489308345055,2.5650489308345055,2.5650489308345055,0.0,0.0,0.0,570.7712062789834
